,ku
330,0.1477001953124999
331,0.1553295898437499
332,0.1629589843749999
333,0.1705883789062499
334,0.1782177734374999
335,0.1858471679687499
336,0.1934765624999999
337,0.2011059570312499
338,0.2087353515624999
339,0.2163647460937499
340,0.2239941406249999
341,0.2316235351562499
342,0.2392529296874999
343,0.2468823242187499
344,0.2545117187499999
345,0.2621411132812499
346,0.2697705078124999
347,0.2773999023437499
348,0.2850292968749999
349,0.2926586914062499
350,0.3002880859374999
351,0.3079174804687499
352,0.3155468749999999
353,0.3231762695312499
354,0.3308056640624999
355,0.3384350585937499
356,0.3460644531249999
357,0.3536938476562499
358,0.3613232421874999
359,0.3689526367187499
360,0.3765820312499999
361,0.3842114257812499
362,0.3918408203124999
363,0.3994702148437499
364,0.4070996093749999
365,0.4147290039062499
366,0.4223583984374999
367,0.4299877929687499
368,0.4376171874999999
369,0.4452465820312499
370,0.4528759765624999
371,0.4605053710937499
372,0.4681347656249999
373,0.4757641601562499
374,0.4833935546874999
375,0.4910229492187499
376,0.4986523437499999
377,0.5062817382812499
378,0.5139111328124999
379,0.5215405273437499
380,0.5291699218749999
381,0.5367993164062499
382,0.5444287109374999
383,0.5520581054687499
384,0.5596874999999999
385,0.5673168945312499
386,0.5749462890624999
387,0.5825756835937499
388,0.5902050781249999
389,0.5978344726562499
390,0.6054638671874999
391,0.6130932617187499
392,0.6207226562499999
393,0.6283520507812499
394,0.6359814453124999
395,0.6436108398437499
396,0.6512402343749999
397,0.6588696289062499
398,0.6664990234374999
399,0.6741284179687499
400,0.6817578124999999
401,0.6893872070312499
402,0.6970166015624999
403,0.7046459960937499
404,0.7122753906249999
405,0.7199047851562499
406,0.7275341796874999
407,0.7351635742187499
408,0.7427929687499999
409,0.7504223632812499
410,0.7580517578124999
411,0.7656811523437499
412,0.7733105468749999
413,0.7809399414062499
414,0.7885693359374999
415,0.7961987304687499
416,0.8038281249999999
417,0.8114575195312499
418,0.8190869140624999
419,0.8267163085937499
420,0.8343457031249999
421,0.8419750976562499
422,0.8496044921874999
423,0.8572338867187499
424,0.8648632812499999
425,0.8724926757812499
426,0.8801220703124999
427,0.8877514648437499
428,0.8953808593749999
429,0.9030102539062499
430,0.9106396484374999
431,0.9182690429687499
432,0.9258984374999999
433,0.9335278320312499
434,0.9411572265624999
435,0.9487866210937499
436,0.9564160156249999
437,0.9640454101562499
438,0.9716748046874999
439,0.9793041992187499
440,0.9869335937499999
441,0.9945629882812499
442,1.0021923828125
443,1.00982177734375
444,1.017451171875
445,1.02508056640625
446,1.0327099609375
447,1.04033935546875
448,1.04796875
449,1.05559814453125
450,1.0632275390625
451,1.07085693359375
452,1.078486328125
453,1.08611572265625
454,1.0937451171875
455,1.10137451171875
456,1.10900390625
457,1.11663330078125
458,1.1242626953125
459,1.13189208984375
460,1.139521484375
461,1.14715087890625
462,1.1547802734375
463,1.16240966796875
464,1.1700390625
465,1.17766845703125
466,1.1852978515625
467,1.19292724609375
468,1.200556640625
469,1.20818603515625
470,1.2158154296875
471,1.22344482421875
472,1.23107421875
473,1.23870361328125
474,1.2463330078125
475,1.25396240234375
476,1.261591796875
477,1.26922119140625
478,1.2768505859375
479,1.28447998046875
480,1.292109375
481,1.29973876953125
482,1.3073681640625
483,1.31499755859375
484,1.322626953125
485,1.33025634765625
486,1.3378857421875
487,1.34551513671875
