,ka
278,-0.7974169921874998
279,-0.7928393554687498
280,-0.7882617187499998
281,-0.7836840820312498
282,-0.7791064453124998
283,-0.7745288085937498
284,-0.7699511718749998
285,-0.7653735351562498
286,-0.7607958984374998
287,-0.7562182617187498
288,-0.7516406249999998
289,-0.7470629882812498
290,-0.7424853515624998
291,-0.7379077148437498
292,-0.7333300781249998
293,-0.7287524414062498
294,-0.7241748046874998
295,-0.7195971679687498
296,-0.7150195312499998
297,-0.7104418945312498
298,-0.7058642578124998
299,-0.7012866210937498
300,-0.6967089843749998
301,-0.6921313476562498
302,-0.6875537109374998
303,-0.6829760742187498
304,-0.6783984374999998
305,-0.6738208007812498
306,-0.6692431640624998
307,-0.6646655273437498
308,-0.6600878906249998
309,-0.6555102539062498
310,-0.6509326171874998
311,-0.6463549804687498
312,-0.6417773437499998
313,-0.6371997070312498
314,-0.6326220703124998
315,-0.6280444335937498
316,-0.6234667968749998
317,-0.6188891601562498
318,-0.6143115234374998
319,-0.6097338867187498
320,-0.6051562499999998
321,-0.6005786132812498
322,-0.5960009765624998
323,-0.5914233398437498
324,-0.5868457031249998
325,-0.5822680664062498
326,-0.5776904296874998
327,-0.5731127929687498
328,-0.5685351562499998
329,-0.5639575195312498
330,-0.5593798828124998
331,-0.5548022460937498
332,-0.5502246093749998
333,-0.5456469726562498
334,-0.5410693359374998
335,-0.5364916992187498
336,-0.5319140624999998
337,-0.5273364257812498
338,-0.5227587890624998
339,-0.5181811523437498
340,-0.5136035156249998
341,-0.5090258789062498
342,-0.5044482421874998
343,-0.49987060546874984
344,-0.49529296874999984
345,-0.49071533203124984
346,-0.48613769531249984
347,-0.48156005859374984
348,-0.47698242187499984
349,-0.47240478515624984
350,-0.46782714843749984
351,-0.46324951171874984
352,-0.45867187499999984
353,-0.45409423828124984
354,-0.44951660156249984
355,-0.44493896484374984
356,-0.44036132812499984
357,-0.43578369140624984
358,-0.43120605468749984
359,-0.42662841796874984
360,-0.42205078124999984
361,-0.41747314453124984
362,-0.41289550781249984
363,-0.40831787109374984
364,-0.40374023437499984
365,-0.39916259765624984
366,-0.39458496093749984
367,-0.39000732421874984
368,-0.38542968749999984
369,-0.38085205078124984
370,-0.37627441406249984
371,-0.37169677734374984
372,-0.36711914062499984
373,-0.36254150390624984
374,-0.35796386718749984
375,-0.35338623046874984
376,-0.34880859374999984
377,-0.34423095703124984
378,-0.33965332031249984
379,-0.33507568359374984
380,-0.33049804687499984
381,-0.32592041015624984
382,-0.32134277343749984
383,-0.31676513671874984
384,-0.31218749999999984
385,-0.30760986328124984
386,-0.30303222656249984
387,-0.29845458984374984
388,-0.29387695312499984
389,-0.28929931640624984
390,-0.28472167968749984
391,-0.28014404296874984
392,-0.27556640624999984
393,-0.27098876953124984
394,-0.26641113281249984
395,-0.26183349609374984
396,-0.25725585937499984
397,-0.25267822265624984
